col_date,col_value
2017-05-07T00:00:00.0000000,5.58490
2017-05-08T00:00:00.0000000,5.18501
2017-05-09T00:00:00.0000000,5.43281
2017-05-10T00:00:00.0000000,4.47140
2017-05-11T00:00:00.0000000,6.15133
2017-05-12T00:00:00.0000000,5.11719
2017-05-13T00:00:00.0000000,6.02183
2017-05-14T00:00:00.0000000,4.88398
2017-05-15T00:00:00.0000000,4.77457
2017-05-16T00:00:00.0000000,4.38640
2017-05-17T00:00:00.0000000,5.42661
2017-05-18T00:00:00.0000000,4.73169
2017-05-19T00:00:00.0000000,5.96991
2017-05-20T00:00:00.0000000,5.63110
2017-05-21T00:00:00.0000000,5.50907
2017-05-22T00:00:00.0000000,4.63709
2017-05-23T00:00:00.0000000,5.03187
2017-05-24T00:00:00.0000000,6.05205
2017-05-25T00:00:00.0000000,2.91527
2017-05-26T00:00:00.0000000,3.48652
2017-05-27T00:00:00.0000000,5.43485
2017-05-28T00:00:00.0000000,2.42223
2017-05-29T00:00:00.0000000,5.22604
2017-05-30T00:00:00.0000000,3.70568
2017-05-31T00:00:00.0000000,2.87365
2017-06-01T00:00:00.0000000,2.05312
2017-06-02T00:00:00.0000000,2.40265
2017-06-03T00:00:00.0000000,1.42730
2017-06-04T00:00:00.0000000,1.69655
2017-06-05T00:00:00.0000000,2.40654
2017-06-06T00:00:00.0000000,3.76730
2017-06-07T00:00:00.0000000,2.49549
2017-06-08T00:00:00.0000000,4.41916
2017-06-09T00:00:00.0000000,4.14003
2017-06-10T00:00:00.0000000,2.35545
2017-06-11T00:00:00.0000000,2.12755
2017-06-12T00:00:00.0000000,2.13270
2017-06-13T00:00:00.0000000,3.11909
2017-06-14T00:00:00.0000000,2.40435
2017-06-15T00:00:00.0000000,2.35369
2017-06-16T00:00:00.0000000,2.98888
2017-06-17T00:00:00.0000000,1.95775
2017-06-18T00:00:00.0000000,1.72590
2017-06-19T00:00:00.0000000,2.35699
2017-06-20T00:00:00.0000000,3.03824
2017-06-21T00:00:00.0000000,2.05484
2017-06-22T00:00:00.0000000,2.77096
2017-06-23T00:00:00.0000000,2.54929
2017-06-24T00:00:00.0000000,3.20879
2017-06-25T00:00:00.0000000,2.74785
2017-06-26T00:00:00.0000000,3.39043
2017-06-27T00:00:00.0000000,1.72198
2017-06-28T00:00:00.0000000,1.82734
2017-06-29T00:00:00.0000000,6.85312
2017-06-30T00:00:00.0000000,2.49971
2017-07-01T00:00:00.0000000,1.54699
2017-07-02T00:00:00.0000000,1.04224
2017-07-03T00:00:00.0000000,1.50628
2017-07-04T00:00:00.0000000,1.10138
2017-07-05T00:00:00.0000000,0.94046
2017-07-06T00:00:00.0000000,0.61300
2017-07-07T00:00:00.0000000,0.75799
2017-07-08T00:00:00.0000000,0.22498
2017-07-09T00:00:00.0000000,0.24868
